country,year,gdp growth,,FR
Slovenia,1987,,,0
Slovenia,1988,,,0
Slovenia,1989,,,0
Slovenia,1990,,,0
Slovenia,1991,,,0
Slovenia,1992,,,0
Slovenia,1993,,,0
Slovenia,1994,,,0
Slovenia,1995,,,0
Slovenia,1996,,,0
Slovenia,1997,,,0
Slovenia,1998,,,0
Slovenia,1999,,,0
Slovenia,2000,5.674,5.63%,1
Slovenia,2001,5.629,5.67%,1
Slovenia,2002,5.866,5.71%,1
Slovenia,2003,5.886,5.76%,1
Slovenia,2004,5.82,5.80%,1
Slovenia,2005,5.853,5.84%,1
Slovenia,2006,5.705,5.88%,1
Slovenia,2007,5.36,5.93%,1
Slovenia,2008,5.774,5.97%,1
Slovenia,2009,6.256,6.01%,1
Slovenia,2010,6.278,6.06%,1
Slovenia,2011,6.261,6.10%,1
Slovenia,2012,6.266,6.14%,1
Slovenia,2013,6.217,6.18%,1
Slovenia,2014,6.066,6.23%,1
Spain,1985,4.06,4.10%,0
Spain,1986,3.981,4.19%,0
Spain,1987,4.029,4.27%,0
Spain,1988,4.459,4.35%,0
Spain,1989,4.485,4.44%,0
Spain,1990,4.781,4.52%,0
Spain,1991,4.848,4.60%,0
Spain,1992,5.138,4.69%,1
Spain,1993,5.313,4.77%,1
Spain,1994,5.206,4.85%,1
Spain,1995,5.077,4.94%,1
Spain,1996,5.103,5.02%,1
Spain,1997,5.02,5.10%,1
Spain,1998,4.974,5.18%,1
Spain,1999,4.967,5.27%,1
Spain,2000,4.864,5.35%,1
Spain,2001,4.818,5.43%,1
Spain,2002,4.833,5.52%,1
Spain,2003,5.37,5.60%,1
Spain,2004,5.454,5.68%,1
Spain,2005,5.517,5.77%,1
Spain,2006,5.62,5.85%,1
Spain,2007,5.699,5.93%,1
Spain,2008,6.104,6.02%,1
Spain,2009,6.777,6.10%,1
Spain,2010,6.747,6.18%,1
Spain,2011,6.708,6.26%,1
Spain,2012,6.551,6.35%,1
Spain,2013,6.411,6.43%,1
Spain,2014,6.36,6.51%,1
Sweden,1985,6.577,5.73%,0
Sweden,1986,6.376,5.81%,0
Sweden,1987,6.45,5.89%,0
Sweden,1988,6.345,5.97%,0
Sweden,1989,6.411,6.05%,0
Sweden,1990,5.773,6.13%,0
Sweden,1991,5.638,6.21%,0
Sweden,1992,6.564,6.29%,0
Sweden,1993,6.789,6.37%,0
Sweden,1994,6.431,6.45%,0
Sweden,1995,6.317,6.53%,1
Sweden,1996,6.537,6.61%,1
Sweden,1997,6.288,6.69%,1
Sweden,1998,6.349,6.77%,1
Sweden,1999,6.366,6.85%,1
Sweden,2000,6.34,6.93%,1
Sweden,2001,6.576,7.01%,1
Sweden,2002,6.873,7.09%,1
Sweden,2003,6.989,7.16%,1
Sweden,2004,6.788,7.24%,1
Sweden,2005,6.767,7.32%,1
Sweden,2006,6.676,7.40%,1
Sweden,2007,6.609,7.48%,1
Sweden,2008,6.805,7.56%,1
Sweden,2009,7.331,7.64%,1
Sweden,2010,6.949,7.72%,1
Sweden,2011,8.967,7.80%,1
Sweden,2012,9.142,7.88%,1
Sweden,2013,9.256,7.96%,1
Sweden,2014,9.288,8.04%,1
Switzerland,1985,3.403,3.29%,0
Switzerland,1986,3.467,3.42%,0
Switzerland,1987,3.557,3.56%,0
Switzerland,1988,3.615,3.70%,0
Switzerland,1989,3.752,3.84%,0
Switzerland,1990,3.751,3.98%,0
Switzerland,1991,4.094,4.12%,0
Switzerland,1992,4.368,4.26%,0
Switzerland,1993,4.453,4.40%,0
Switzerland,1994,4.484,4.53%,0
Switzerland,1995,4.739,4.67%,0
Switzerland,1996,5.01,4.81%,0
Switzerland,1997,5.048,4.95%,0
Switzerland,1998,5.088,5.09%,0
Switzerland,1999,5.205,5.23%,0
Switzerland,2000,5.176,5.37%,0
Switzerland,2001,5.517,5.51%,0
Switzerland,2002,5.83,5.64%,0
Switzerland,2003,6.064,5.78%,0
Switzerland,2004,6.086,5.92%,0
Switzerland,2005,6.098,6.06%,0
Switzerland,2006,5.798,6.20%,0
Switzerland,2007,5.693,6.34%,0
Switzerland,2008,6.372,6.48%,0
Switzerland,2009,6.808,6.62%,0
Switzerland,2010,6.715,6.76%,0
Switzerland,2011,6.821,6.89%,0
Switzerland,2012,7.138,7.03%,0
Switzerland,2013,7.373,7.17%,0
Switzerland,2014,7.416,7.31%,0
United Kingdom,1985,4.428,3.78%,0
United Kingdom,1986,4.407,3.89%,0
United Kingdom,1987,4.421,4.01%,0
United Kingdom,1988,4.331,4.12%,0
United Kingdom,1989,4.249,4.24%,0
United Kingdom,1990,4.291,4.35%,0
United Kingdom,1991,4.586,4.47%,0
United Kingdom,1992,4.975,4.59%,1
United Kingdom,1993,5.066,4.70%,1
United Kingdom,1994,5.091,4.82%,1
United Kingdom,1995,4.761,4.93%,1
United Kingdom,1996,4.754,5.05%,1
United Kingdom,1997,4.377,5.16%,1
United Kingdom,1998,4.494,5.28%,1
United Kingdom,1999,4.688,5.39%,1
United Kingdom,2000,4.77,5.51%,1
United Kingdom,2001,5.039,5.62%,1
United Kingdom,2002,5.278,5.74%,1
United Kingdom,2003,5.48,5.85%,1
United Kingdom,2004,5.743,5.97%,1
United Kingdom,2005,5.889,6.08%,1
United Kingdom,2006,6.076,6.20%,1
United Kingdom,2007,6.098,6.31%,1
United Kingdom,2008,6.392,6.43%,1
United Kingdom,2009,7.165,6.54%,1
United Kingdom,2010,7.072,6.66%,1
United Kingdom,2011,6.986,6.78%,1
United Kingdom,2012,6.944,6.89%,1
United Kingdom,2013,7.837,7.01%,1
United Kingdom,2014,7.805,7.12%,1
United States,1985,,,0
United States,1986,,,0
United States,1987,,,0
United States,1988,,,0
United States,1989,,,0
United States,1990,,,0
United States,1991,,,0
United States,1992,,,0
United States,1993,,,0
United States,1994,,,0
United States,1995,,,0
United States,1996,,,0
United States,1997,,,0
United States,1998,,,0
United States,1999,,,0
United States,2000,5.524,5.78%,0
United States,2001,5.945,5.97%,0
United States,2002,6.297,6.15%,0
United States,2003,6.492,6.34%,0
United States,2004,6.576,6.52%,0
United States,2005,6.598,6.70%,0
United States,2006,6.76,6.89%,0
United States,2007,6.883,7.07%,0
United States,2008,7.222,7.25%,0
United States,2009,7.864,7.44%,0
United States,2010,7.931,7.62%,0
United States,2011,7.926,7.81%,1
United States,2012,7.912,7.99%,1
United States,2013,7.967,8.17%,1
United States,2014,8.164,8.36%,1
,,,,
,,,,
